subjects,number_student,rooms,num_seat,day,section
1,23,0,23,0,0
31,28,7,28,0,0
52,30,11,30,0,0
0,31,2,31,0,0
4,36,1,36,0,0
33,36,10,37,0,0
17,39,4,42,0,0
9,26,5,26,0,1
11,27,7,28,0,1
7,29,8,29,0,1
16,29,9,29,0,1
50,36,1,36,0,1
24,35,10,37,0,1
18,39,6,41,0,1
51,20,3,20,0,2
15,22,0,23,0,2
13,26,5,26,0,2
40,29,8,29,0,2
58,29,9,29,0,2
23,27,11,30,0,2
34,31,2,31,0,2
3,34,1,36,0,2
30,34,10,37,0,2
25,39,6,41,0,2
28,39,4,42,0,2
54,20,3,20,0,3
19,22,0,23,0,3
36,26,5,26,0,3
37,27,7,28,0,3
2,25,8,29,0,3
12,25,9,29,0,3
14,25,11,30,0,3
43,31,2,31,0,3
35,34,1,36,0,3
39,34,10,37,0,3
49,39,6,41,0,3
5,38,4,42,0,3
55,22,0,23,1,0
22,25,7,28,1,0
26,25,9,29,1,0
29,25,11,30,1,0
8,24,2,31,1,0
42,34,1,36,1,0
56,20,3,20,1,1
45,21,0,23,1,1
20,24,5,26,1,1
46,24,7,28,1,1
47,21,8,29,1,1
48,21,9,29,1,1
59,20,2,31,1,1
44,34,1,36,1,1
10,33,10,37,1,1
6,38,6,41,1,1
27,38,4,42,1,1
38,33,1,36,1,2
21,32,10,37,1,2
32,38,6,41,1,2
41,38,4,42,1,2
53,32,1,36,1,3
57,32,10,37,1,3
