subjects,number_student,rooms,num_seat,day,section
3,25,7,25,0,0
39,27,4,27,0,0
7,32,6,32,0,0
9,40,3,48,0,0
17,22,2,22,0,1
32,25,7,25,0,1
26,32,6,32,0,1
1,33,1,33,0,1
22,39,0,39,0,1
27,40,5,41,0,1
35,39,3,48,0,1
25,24,7,25,0,2
0,26,4,27,0,2
6,30,6,32,0,2
15,33,1,33,0,2
13,37,0,39,0,2
36,37,5,41,0,2
38,37,3,48,0,2
20,22,2,22,0,3
12,23,7,25,0,3
30,22,4,27,0,3
8,30,6,32,0,3
18,33,1,33,0,3
19,36,0,39,0,3
5,34,5,41,0,3
10,34,3,48,0,3
31,22,2,22,1,0
2,21,7,25,1,0
28,21,4,27,1,0
24,30,6,32,1,0
4,29,1,33,1,0
11,34,5,41,1,0
14,34,3,48,1,0
21,20,2,22,1,1
34,20,7,25,1,1
16,29,6,32,1,1
29,29,1,33,1,1
33,29,5,41,1,1
23,28,6,32,1,2
37,28,0,39,1,2
