subjects,number_student,rooms,num_seat,day,section
8,26,0,26,0,0
34,26,3,26,0,0
32,29,5,29,0,0
0,39,4,39,0,0
7,39,7,39,0,0
28,40,6,44,0,0
33,40,2,45,0,0
2,25,3,26,0,1
9,28,5,29,0,1
6,37,1,37,0,1
11,39,4,39,0,1
35,38,7,39,0,1
21,37,6,44,0,1
25,37,2,45,0,1
36,25,0,26,0,2
15,27,5,29,0,2
38,37,1,37,0,2
1,36,4,39,0,2
12,36,7,39,0,2
16,36,6,44,0,2
5,35,2,45,0,2
29,23,5,29,0,3
10,35,4,39,0,3
18,35,7,39,0,3
30,35,6,44,0,3
39,35,2,45,0,3
14,22,0,26,1,0
13,21,3,26,1,0
4,33,4,39,1,0
22,33,7,39,1,0
19,21,3,26,1,1
26,21,5,29,1,1
27,33,1,37,1,1
17,32,4,39,1,1
20,32,6,44,1,1
3,31,2,45,1,1
24,20,0,26,1,2
31,20,3,26,1,2
37,20,5,29,1,2
23,31,1,37,1,2
