subjects,number_student,rooms,num_seat,day,section
10,20,3,20,0,0
19,20,4,20,0,0
7,40,6,45,0,0
32,40,9,50,0,0
0,21,17,21,0,0
21,36,18,36,0,0
12,27,0,27,0,1
59,40,1,42,0,1
31,20,3,20,0,1
89,20,4,20,0,1
16,35,5,35,0,1
87,40,6,45,0,1
24,28,7,28,0,1
14,25,8,25,0,1
109,40,11,41,0,1
115,40,12,44,0,1
116,40,13,49,0,1
1,21,17,21,0,1
45,21,19,21,0,1
28,27,0,27,0,2
126,40,1,42,0,2
117,22,2,22,0,2
118,20,4,20,0,2
37,35,5,35,0,2
138,40,6,45,0,2
26,28,7,28,0,2
17,25,8,25,0,2
40,25,10,25,0,2
155,40,11,41,0,2
175,40,12,44,0,2
183,40,13,49,0,2
46,35,14,35,0,2
64,21,17,21,0,2
34,36,18,36,0,2
70,21,19,21,0,2
50,27,0,27,0,3
189,40,1,42,0,3
76,21,2,22,0,3
134,20,3,20,0,3
140,20,4,20,0,3
53,35,5,35,0,3
11,39,6,45,0,3
29,28,7,28,0,3
25,39,9,50,0,3
33,39,11,41,0,3
60,39,12,44,0,3
84,35,14,35,0,3
55,25,15,25,0,3
71,32,16,32,0,3
83,21,17,21,0,3
124,21,19,21,0,3
67,39,1,42,1,0
61,28,7,28,1,0
57,25,8,25,1,0
82,39,11,41,1,0
135,39,13,49,1,0
62,25,15,25,1,0
85,32,16,32,1,0
130,21,17,21,1,0
160,21,19,21,1,0
171,21,2,22,1,1
153,20,4,20,1,1
95,35,5,35,1,1
101,28,7,28,1,1
73,25,8,25,1,1
139,39,9,50,1,1
178,39,12,44,1,1
94,25,15,25,1,1
41,36,18,36,1,1
51,27,0,27,1,2
3,38,1,42,1,2
157,20,3,20,1,2
158,20,4,20,1,2
13,34,5,35,1,2
8,38,6,45,1,2
150,28,7,28,1,2
100,25,8,25,1,2
123,25,10,25,1,2
9,38,13,49,1,2
47,34,14,35,1,2
74,36,18,36,1,2
197,21,19,21,1,2
81,27,0,27,1,3
44,38,1,42,1,3
176,20,2,22,1,3
63,34,5,35,1,3
54,38,6,45,1,3
163,28,7,28,1,3
142,25,8,25,1,3
96,38,9,50,1,3
152,25,10,25,1,3
107,38,11,41,1,3
111,38,12,44,1,3
113,38,13,49,1,3
72,34,14,35,1,3
159,25,15,25,1,3
88,32,16,32,1,3
78,36,18,36,1,3
110,34,5,35,2,0
121,38,6,45,2,0
156,34,14,35,2,0
132,36,18,36,2,0
92,27,0,27,2,1
166,34,5,35,2,1
127,38,6,45,2,1
177,25,8,25,2,1
162,38,9,50,2,1
194,25,10,25,2,1
195,25,15,25,2,1
170,36,18,36,2,1
93,27,0,27,2,2
190,34,5,35,2,2
192,28,7,28,2,2
35,24,8,25,2,2
187,38,9,50,2,2
22,37,12,44,2,2
48,37,13,49,2,2
5,33,14,35,2,2
39,24,15,25,2,2
91,32,16,32,2,2
193,36,18,36,2,2
99,27,0,27,2,3
23,33,5,35,2,3
97,37,6,45,2,3
131,27,7,28,2,3
52,24,8,25,2,3
125,37,9,50,2,3
173,24,10,25,2,3
128,37,13,49,2,3
42,33,14,35,2,3
104,33,18,36,2,3
148,37,6,45,3,0
154,37,9,50,3,0
167,37,13,49,3,0
106,33,14,35,3,0
191,24,15,25,3,0
98,32,16,32,3,0
144,27,0,27,3,1
112,33,5,35,3,1
145,27,7,28,3,1
196,37,12,44,3,1
141,33,13,49,3,1
161,33,14,35,3,1
136,32,16,32,3,1
172,33,18,36,3,1
168,27,0,27,3,2
181,33,1,42,3,2
137,32,6,45,3,2
184,27,7,28,3,2
4,23,8,25,3,2
146,32,9,50,3,2
165,32,11,41,3,2
15,31,12,44,3,2
36,31,14,35,3,2
6,23,15,25,3,2
58,31,16,32,3,2
79,31,18,36,3,2
186,27,0,27,3,3
80,31,1,42,3,3
86,31,5,35,3,3
151,31,6,45,3,3
18,26,7,28,3,3
27,23,10,25,3,3
179,31,11,41,3,3
182,31,13,49,3,3
56,30,14,35,3,3
30,23,15,25,3,3
66,30,6,45,4,0
103,30,9,50,4,0
105,30,13,49,4,0
38,23,15,25,4,0
108,30,18,36,4,0
20,26,0,27,4,1
143,30,1,42,4,1
149,30,5,35,4,1
68,26,7,28,4,1
2,29,11,41,4,1
43,29,12,44,4,1
69,29,13,49,4,1
114,29,14,35,4,1
49,23,15,25,4,1
122,29,1,42,4,2
169,29,5,35,4,2
188,29,6,45,4,2
65,23,8,25,4,2
102,26,9,50,4,2
75,23,10,25,4,2
119,26,11,41,4,2
129,26,13,49,4,2
133,26,14,35,4,2
77,23,15,25,4,2
180,26,16,32,4,2
199,26,0,27,4,3
90,23,1,42,4,3
120,23,5,35,4,3
147,23,7,28,4,3
164,23,8,25,4,3
174,23,10,25,4,3
185,23,11,41,4,3
198,23,12,44,4,3
