subjects,number_student,rooms,num_seat,day,section
15,20,2,20,0,0
41,28,8,28,0,0
5,39,4,39,0,0
21,40,3,47,0,0
47,40,6,49,0,0
9,27,8,28,0,1
35,39,4,39,0,1
6,38,5,44,0,1
30,38,3,47,0,1
34,38,6,49,0,1
17,27,8,28,0,2
31,37,4,39,0,2
32,37,5,44,0,2
1,36,3,47,0,2
23,36,6,49,0,2
24,36,0,50,0,2
0,26,7,26,0,3
40,27,8,28,0,3
25,36,4,39,0,3
26,36,5,44,0,3
39,36,3,47,0,3
44,36,6,49,0,3
4,35,0,50,0,3
18,35,5,44,1,0
2,34,0,50,1,0
3,34,4,39,1,1
13,34,5,44,1,1
27,34,3,47,1,1
36,33,6,49,1,1
7,26,7,26,1,2
19,26,8,28,1,2
38,33,4,39,1,2
14,31,5,44,1,2
42,31,3,47,1,2
49,31,6,49,1,2
43,30,0,50,1,2
28,26,7,26,1,3
37,26,8,28,1,3
45,30,4,39,1,3
48,26,5,44,1,3
8,25,3,47,1,3
10,25,0,50,1,3
46,25,7,26,2,0
20,24,8,28,2,0
22,24,7,26,2,1
11,22,8,28,2,1
12,22,5,44,2,1
29,22,3,47,2,1
33,22,6,49,2,1
16,21,0,50,2,1
