subjects,number_student,rooms,num_seat,day,section
23,29,13,29,0,0
21,30,10,30,0,0
47,36,3,36,0,0
0,40,9,40,0,0
1,40,12,40,0,0
53,40,15,40,0,0
55,40,2,41,0,0
57,40,0,44,0,0
4,38,1,45,0,0
33,26,4,26,0,1
39,29,13,29,0,1
37,30,10,30,0,1
2,32,8,32,0,1
15,38,9,40,0,1
18,38,12,40,0,1
30,38,15,40,0,1
45,38,2,41,0,1
61,38,5,41,0,1
43,37,11,41,0,1
48,37,6,43,0,1
65,37,0,44,0,1
68,37,1,45,0,1
20,25,14,25,0,2
36,26,4,26,0,2
60,29,13,29,0,2
49,30,10,30,0,2
5,32,8,32,0,2
63,36,3,36,0,2
3,35,9,40,0,2
9,35,12,40,0,2
14,35,15,40,0,2
17,35,2,41,0,2
19,35,11,41,0,2
31,35,6,43,0,2
6,34,0,44,0,2
34,34,1,45,0,2
58,25,14,25,0,3
67,25,4,26,0,3
11,27,7,29,0,3
16,27,13,29,0,3
28,27,10,30,0,3
24,31,8,32,0,3
35,34,9,40,0,3
38,34,12,40,0,3
51,34,15,40,0,3
41,33,2,41,0,3
46,33,5,41,0,3
54,33,11,41,0,3
64,33,6,43,0,3
69,33,0,44,0,3
25,31,1,45,0,3
59,24,14,25,1,0
52,27,8,32,1,0
66,24,9,40,1,0
13,23,12,40,1,0
27,23,2,41,1,0
29,23,5,41,1,0
7,22,11,41,1,0
22,22,6,43,1,0
40,22,0,44,1,0
8,21,1,45,1,0
10,21,14,25,1,1
26,21,13,29,1,1
50,21,8,32,1,1
56,21,3,36,1,1
62,21,9,40,1,1
12,20,12,40,1,1
32,20,15,40,1,1
42,20,2,41,1,1
44,20,11,41,1,1
