method,data,num_subject,num_room,num_conflict,run,start,end,duration,status
mip,data_10_2_4_(0).txt,10,2,4,1,1675288761.3809395,1675288761.651609,0.2706694602966308,0
mip,data_10_2_4_(0).txt,10,2,4,2,1675288761.6516802,1675288761.863598,0.2119178771972656,0
mip,data_10_2_4_(0).txt,10,2,4,3,1675288761.8636563,1675288762.0820277,0.2183711528778076,0
mip,data_10_2_4_(0).txt,10,2,4,4,1675288762.0821226,1675288762.3058846,0.223762035369873,0
mip,data_10_2_4_(0).txt,10,2,4,5,1675288762.3059292,1675288762.524206,0.2182767391204834,0
mip,data_10_2_4_(1).txt,10,2,4,1,1675288762.524253,1675288762.848238,0.3239853382110595,0
mip,data_10_2_4_(1).txt,10,2,4,2,1675288762.8483882,1675288763.1829412,0.3345530033111572,0
mip,data_10_2_4_(1).txt,10,2,4,3,1675288763.1830175,1675288763.5488417,0.3658242225646972,0
mip,data_10_2_4_(1).txt,10,2,4,4,1675288763.5489132,1675288764.0131738,0.4642605781555176,0
mip,data_10_2_4_(1).txt,10,2,4,5,1675288764.0133624,1675288764.5075347,0.4941723346710205,0
mip,data_10_2_4_(2).txt,10,2,4,1,1675288764.507624,1675288764.9578197,0.4501953125,0
mip,data_10_2_4_(2).txt,10,2,4,2,1675288764.957945,1675288765.3868344,0.4288890361785888,0
mip,data_10_2_4_(2).txt,10,2,4,3,1675288765.386886,1675288765.7890608,0.402174711227417,0
mip,data_10_2_4_(2).txt,10,2,4,4,1675288765.7891347,1675288766.2129626,0.4238278865814209,0
mip,data_10_2_4_(2).txt,10,2,4,5,1675288766.213078,1675288766.6246943,0.4116163253784179,0
mip,data_10_2_4_(3).txt,10,2,4,1,1675288766.6248467,1675288766.8510263,0.226179838180542,0
mip,data_10_2_4_(3).txt,10,2,4,2,1675288766.8510916,1675288767.0844052,0.2333135604858398,0
mip,data_10_2_4_(3).txt,10,2,4,3,1675288767.0844774,1675288767.3133109,0.2288334369659423,0
mip,data_10_2_4_(3).txt,10,2,4,4,1675288767.313382,1675288767.547415,0.2340331077575683,0
mip,data_10_2_4_(3).txt,10,2,4,5,1675288767.547491,1675288767.7955036,0.2480125427246093,0
mip,data_10_2_4_(4).txt,10,2,4,1,1675288767.7956192,1675288767.9920232,0.1964039802551269,0
mip,data_10_2_4_(4).txt,10,2,4,2,1675288767.992129,1675288768.1960256,0.2038962841033935,0
mip,data_10_2_4_(4).txt,10,2,4,3,1675288768.1960747,1675288768.444082,0.2480072975158691,0
mip,data_10_2_4_(4).txt,10,2,4,4,1675288768.4441326,1675288768.6458623,0.2017297744750976,0
mip,data_10_2_4_(4).txt,10,2,4,5,1675288768.6459208,1675288768.8409922,0.1950714588165283,0
mip,data_10_2_12_(0).txt,10,2,12,1,1675288785.5217552,1675288785.770935,0.2491798400878906,0
mip,data_10_2_12_(0).txt,10,2,12,2,1675288785.7710423,1675288785.9795249,0.2084825038909912,0
mip,data_10_2_12_(0).txt,10,2,12,3,1675288785.9796646,1675288786.2177818,0.2381172180175781,0
mip,data_10_2_12_(0).txt,10,2,12,4,1675288786.2179,1675288786.405226,0.1873259544372558,0
mip,data_10_2_12_(0).txt,10,2,12,5,1675288786.4052944,1675288786.594738,0.1894435882568359,0
mip,data_10_2_12_(1).txt,10,2,12,1,1675288786.5948122,1675288787.3336089,0.7387967109680176,0
mip,data_10_2_12_(1).txt,10,2,12,2,1675288787.3337097,1675288788.0713398,0.7376301288604736,0
mip,data_10_2_12_(1).txt,10,2,12,3,1675288788.0714316,1675288788.81824,0.7468082904815674,0
mip,data_10_2_12_(1).txt,10,2,12,4,1675288788.8183153,1675288789.6439946,0.8256793022155762,0
mip,data_10_2_12_(1).txt,10,2,12,5,1675288789.6441123,1675288790.5430622,0.8989498615264893,0
mip,data_10_2_12_(2).txt,10,2,12,1,1675288790.5431418,1675288790.834581,0.2914388179779053,0
mip,data_10_2_12_(2).txt,10,2,12,2,1675288790.8347511,1675288791.1771646,0.3424134254455566,0
mip,data_10_2_12_(2).txt,10,2,12,3,1675288791.177437,1675288791.527701,0.3502635955810547,0
mip,data_10_2_12_(2).txt,10,2,12,4,1675288791.5278144,1675288791.800759,0.272944688796997,0
mip,data_10_2_12_(2).txt,10,2,12,5,1675288791.8009048,1675288792.0649002,0.2639954090118408,0
mip,data_10_2_12_(3).txt,10,2,12,1,1675288792.065096,1675288792.6136272,0.5485312938690186,0
mip,data_10_2_12_(3).txt,10,2,12,2,1675288792.61373,1675288793.1771777,0.5634477138519287,0
mip,data_10_2_12_(3).txt,10,2,12,3,1675288793.1772888,1675288793.7502654,0.5729765892028809,0
mip,data_10_2_12_(3).txt,10,2,12,4,1675288793.750383,1675288794.6058753,0.8554925918579102,0
mip,data_10_2_12_(3).txt,10,2,12,5,1675288794.606057,1675288795.1609614,0.5549044609069824,0
mip,data_10_2_12_(4).txt,10,2,12,1,1675288795.161098,1675288795.8554804,0.6943824291229248,0
mip,data_10_2_12_(4).txt,10,2,12,2,1675288795.855555,1675288796.560909,0.7053539752960205,0
mip,data_10_2_12_(4).txt,10,2,12,3,1675288796.561042,1675288797.226967,0.6659250259399414,0
mip,data_10_2_12_(4).txt,10,2,12,4,1675288797.2271192,1675288797.9275262,0.7004070281982422,0
mip,data_10_2_12_(4).txt,10,2,12,5,1675288797.9276557,1675288798.6053624,0.6777069568634033,0
mip,data_10_2_24_(0).txt,10,2,24,1,1675288804.90164,1675288805.2878485,0.3862085342407226,0
