subjects,number_student,rooms,num_seat,day,section
1,28,4,29,0,0
16,35,6,49,0,0
28,23,9,24,0,0
40,34,2,43,0,0
48,21,0,22,0,0
26,37,2,43,0,1
32,28,5,30,0,1
37,28,3,31,0,1
39,38,6,49,0,1
8,28,3,31,0,2
13,39,2,43,0,2
21,38,6,49,0,2
46,22,0,22,0,2
0,25,5,30,0,3
7,34,2,43,0,3
9,36,6,49,0,3
11,22,8,22,0,3
38,20,0,22,0,3
41,25,3,31,0,3
2,36,6,49,1,0
10,25,4,29,1,0
44,37,2,43,1,0
12,37,6,49,1,1
18,26,4,29,1,1
25,35,2,43,1,1
36,31,3,31,1,1
43,25,5,30,1,1
45,21,0,22,1,1
49,24,9,24,1,1
4,39,2,43,1,2
5,24,9,24,1,2
17,29,3,31,1,2
34,37,6,49,1,2
42,20,0,22,1,2
3,37,2,43,1,3
6,23,9,24,1,3
14,20,7,21,1,3
15,34,6,49,1,3
19,20,1,22,1,3
30,22,8,22,1,3
47,29,4,29,1,3
20,24,9,24,2,0
22,26,6,49,2,0
23,38,2,43,2,0
24,21,7,21,2,0
27,25,4,29,2,0
29,21,5,30,2,0
31,21,0,22,2,0
33,30,3,31,2,0
35,21,1,22,2,0
