method,data,duration,optimal_section,optimal_day
cp,data_10_2_12_(0).txt,9.120734262466431,9.0,3.0
cp,data_10_2_12_(1).txt,0.141381025314331,5.0,2.0
cp,data_10_2_12_(2).txt,0.6755478382110596,8.0,2.0
cp,data_10_2_12_(3).txt,0.183032989501953,5.0,2.0
cp,data_10_2_12_(4).txt,1.9264404296875,6.0,2.0
cp,data_10_2_24_(0).txt,0.0509755134582518,6.0,2.0
cp,data_10_2_24_(1).txt,0.0621833324432372,5.0,2.0
cp,data_10_2_24_(2).txt,0.0532620906829833,6.0,2.0
cp,data_10_2_24_(3).txt,0.5116397857666015,8.0,2.0
cp,data_10_2_24_(4).txt,0.0885862827301025,6.0,2.0
cp,data_10_2_40_(0).txt,119.2135200202465,10.0,3.0
cp,data_10_2_40_(1).txt,0.0645663738250732,6.0,2.0
cp,data_10_2_40_(2).txt,0.0439789295196532,6.0,2.0
cp,data_10_2_40_(3).txt,0.0450457096099853,6.0,2.0
cp,data_10_2_40_(4).txt,0.0667147636413573,7.0,2.0
cp,data_10_2_4_(0).txt,0.6517749786376953,8.0,2.0
cp,data_10_2_4_(1).txt,0.0691394805908202,5.0,2.0
cp,data_10_2_4_(2).txt,1.0821425437927246,5.0,2.0
cp,data_10_2_4_(3).txt,0.0681643962860107,6.0,2.0
cp,data_10_2_4_(4).txt,0.5829944610595703,8.0,2.0
cp,data_16_3_12_(0).txt,120.1370464960734,13.0,4.0
cp,data_16_3_12_(1).txt,115.2647185087204,6.0,2.0
cp,data_16_3_12_(2).txt,120.16611795425416,6.0,2.0
cp,data_16_3_12_(3).txt,120.16478276252748,6.0,2.0
cp,data_16_3_12_(4).txt,120.1326470375061,6.0,2.0
cp,data_16_3_24_(0).txt,10.158172607421877,7.0,2.0
cp,data_16_3_24_(1).txt,42.25064659118652,7.0,2.0
cp,data_16_3_24_(2).txt,11.568208932876589,9.0,3.0
cp,data_16_3_24_(3).txt,26.92984914779663,6.0,2.0
cp,data_16_3_24_(4).txt,42.25728702545166,6.0,2.0
cp,data_16_3_40_(0).txt,46.0089339017868,6.0,2.0
cp,data_16_3_40_(1).txt,0.5837264060974121,8.0,2.0
cp,data_16_3_40_(2).txt,44.9382791519165,6.0,2.0
cp,data_16_3_40_(3).txt,1.1131117343902588,7.0,2.0
cp,data_16_3_40_(4).txt,40.539143085479736,6.0,2.0
cp,data_16_3_60_(0).txt,0.2126163005828857,6.0,2.0
cp,data_16_3_60_(1).txt,4.015119504928589,7.0,2.0
cp,data_16_3_60_(2).txt,5.208980178833008,8.0,2.0
cp,data_16_3_60_(3).txt,0.4897326946258545,6.0,2.0
cp,data_16_3_60_(4).txt,0.3647169589996338,6.0,2.0
cp,data_20_4_24_(0).txt,38.98263740539551,5.0,2.0
cp,data_20_4_24_(1).txt,120.22075390815736,6.0,2.0
cp,data_20_4_24_(2).txt,120.26542162895204,6.0,2.0
cp,data_20_4_24_(3).txt,120.23921060562134,6.0,2.0
cp,data_20_4_24_(4).txt,6.272751569747925,5.0,2.0
cp,data_20_4_40_(0).txt,0.5829296112060547,5.0,2.0
cp,data_20_4_40_(1).txt,33.509238481521606,6.0,2.0
cp,data_20_4_40_(2).txt,0.5160915851593018,5.0,2.0
