subjects,number_student,rooms,num_seat,day,section
3,33,4,34,0,0
12,40,8,42,0,0
13,37,9,50,0,1
27,39,8,42,0,1
39,40,2,44,0,1
5,26,7,37,0,2
9,40,2,44,0,3
35,21,4,34,0,3
6,30,1,48,1,0
25,24,0,25,1,1
10,22,5,23,1,3
14,37,1,48,1,3
17,32,4,34,2,0
46,23,8,42,2,0
8,28,8,42,2,1
30,26,3,27,2,1
18,36,9,50,2,2
22,33,7,37,2,2
38,30,1,48,2,2
23,32,9,50,2,3
47,26,4,34,2,3
33,23,2,44,3,0
48,25,2,44,4,0
0,38,2,44,4,1
7,27,4,34,4,1
2,23,3,27,4,2
32,33,7,37,4,2
36,40,9,50,4,2
19,27,4,34,4,3
28,26,7,37,4,3
41,28,9,50,4,3
15,38,1,48,5,0
21,36,2,44,5,2
42,35,1,48,5,2
29,20,1,48,5,3
44,25,7,37,5,3
26,24,4,34,6,0
43,20,3,27,6,0
16,28,2,44,6,1
45,28,7,37,6,1
1,24,7,37,6,3
40,23,2,44,6,3
20,40,1,48,7,0
31,40,1,48,7,1
11,27,7,37,7,2
4,38,8,42,7,3
24,39,2,44,8,0
37,34,9,50,8,0
34,38,1,48,8,1
49,40,8,42,8,1
